id,date,year,semester,era,kind,sentiment,sentiment_label,emoji,tone_intensity,primary_topic_label,topic_tag_labels,entities,target_short,sender_short,snippet,text_full
824,1994-09-05,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.42,"Police, public safety & city services","Police, public safety & city services",Harrisonburg | Harrisonburg Police,the Harrisonburg police officer,someone,A thanks-for-understanding pat to the Harrisonburg police officer who pulled me over on my bike and opted not to give me a ticket after I had cut him off. Sent in by someone who p…,A thanks-for-understanding pat to the Harrisonburg police officer who pulled me over on my bike and opted not to give me a ticket after I had cut him off. Sent in by someone who promises to bike more safely next time.
829,1994-09-08,1994,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.42,"Parking, towing & cars","Streets, traffic & pedestrian safety | Parking, towing & cars | Police, public safety & city services | Housing, landlords & apartment life",Hunter's Ridge,Hunter's Ridge,someone,A dart to Hunter's Ridge for giving less than a day's notice before towing cars from a very poorly marked fire lane. Sent in by someone whose friend was at work when the notices w…,A dart to Hunter's Ridge for giving less than a day's notice before towing cars from a very poorly marked fire lane. Sent in by someone whose friend was at work when the notices were posted and came home to find her car towed.
835,1994-09-12,1994,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Civic identity, media & reputation","Police, public safety & city services | Campus edge, construction & expansion | Civic identity, media & reputation",Harrisonburg | City of Harrisonburg,the City of Harrisonburg,someone,A dart to the city of Harrisonburg for making the new jail the loveliest building in town. Sent in by someone who thinks this town could use more restaurants and bars and fewer ho…,A dart to the city of Harrisonburg for making the new jail the loveliest building in town. Sent in by someone who thinks this town could use more restaurants and bars and fewer holding facilities.
836,1994-09-12,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.37,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety",Main Street | Port Republic Road,whom it may concern,someone,A pat to whom it may concern for finally opening the turn lane from Main Street to Port Republic Road. Sent in by someone who was tired of waiting for a green light just to make a…,A pat to whom it may concern for finally opening the turn lane from Main Street to Port Republic Road. Sent in by someone who was tired of waiting for a green light just to make a right-hand turn.
857,1994-09-26,1994,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility",Harrisonburg | Harrisonburg Transit,those Harrisonburg Transit buses,a normally macho freshman,"A hearty, slow-down-speedracer dart to those Harrisonburg Transit buses. Some of those buses drive too darn fast. I used to be macho. Please slow down. I'm scared. Sent in by a no…","A hearty, slow-down-speedracer dart to those Harrisonburg Transit buses. Some of those buses drive too darn fast. I used to be macho. Please slow down. I'm scared. Sent in by a normally macho freshman who is now a wimp."
860,1994-09-26,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.4,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Parking, towing & cars",Main Street,the lady,someone,A pat to the lady who spotted me pushing my bike and dragging a large painting down Main Street. She was kind enough to pack me and all of my stuff into her car and drive me home.…,"A pat to the lady who spotted me pushing my bike and dragging a large painting down Main Street. She was kind enough to pack me and all of my stuff into her car and drive me home. Sent in by someone who does not make a habit of hitch-hiking, but accepted the offer in her desperate and sweaty state."
872,1994-10-03,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.39,Community service & mutual aid,"Community service & mutual aid | Civic identity, media & reputation",,the Center,someone,A pat to the Center for Service-Learning for all the community work you do. A lot of people depend on your efforts. Sent in by someone who knows what it is to appreciate a helping…,A pat to the Center for Service-Learning for all the community work you do. A lot of people depend on your efforts. Sent in by someone who knows what it is to appreciate a helping hand.
882,1994-10-10,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.41,"Housing, landlords & apartment life","Streets, traffic & pedestrian safety | Housing, landlords & apartment life",,"Amy Slone, Laura Doyle and Brian Arnold",a grateful tenant,"A you-make-a-difference pat to Amy Slone, Laura Doyle and Brian Arnold at Ashby Crossing for their friendliness and excellent communication. You consistently demonstrate quality c…","A you-make-a-difference pat to Amy Slone, Laura Doyle and Brian Arnold at Ashby Crossing for their friendliness and excellent communication. You consistently demonstrate quality customer service by respecting the needs of tenants. Sent in by a grateful tenant who has had to deal with too many impossible landlords."
894,1994-10-17,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.4,Community service & mutual aid,Community service & mutual aid,Mercy House,the big-hearted guy and girl,the sisters of Alpha Sigma Alpha and the brothers of Sigma Pi,A warm fuzzy pat to the big-hearted guy and girl who FLEX-ed coffee and chips for us while we were camped out on the commons for Mercy House. Sent in by the sisters of Alpha Sigma…,A warm fuzzy pat to the big-hearted guy and girl who FLEX-ed coffee and chips for us while we were camped out on the commons for Mercy House. Sent in by the sisters of Alpha Sigma Alpha and the brothers of Sigma Pi who might not have survived the sub-zero temperatures otherwise.
903,1994-10-24,1994,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.42,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Campus edge, construction & expansion",,the insane drivers,someone,A thanks-for-almost-squashing-me dart to the insane drivers who speed across the crosswalk in front of Anthony-Seeger. Don't you idiots know that pedestrians have the right of way…,A thanks-for-almost-squashing-me dart to the insane drivers who speed across the crosswalk in front of Anthony-Seeger. Don't you idiots know that pedestrians have the right of way? Sent in by someone who has tire marks on her tennis shoes.
912,1994-11-10,1994,Fall,1991–1999,PAT,1,pat / praise,👏,0.48,Other town-gown moments,,,"the Lambda Chi Alpha, the members of Circle K, Alpha Phi Omega and the Center",Diana McGuire,"A big thank-you pat to the Lambda Chi Alpha, the members of Circle K, Alpha Phi Omega and the Center for Service-Learning for making the Citizens Against Sexual Assault 5K run a g…","A big thank-you pat to the Lambda Chi Alpha, the members of Circle K, Alpha Phi Omega and the Center for Service-Learning for making the Citizens Against Sexual Assault 5K run a great success. Sent in by Diana McGuire, direct services coordinator of CASA."
937,1994-12-01,1994,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.41,"Housing, landlords & apartment life","Housing, landlords & apartment life | Campus edge, construction & expansion",,"the well-trained, low-life dirtballs",off-campus residents,"A next-time-we'll-be-waiting-with-baseball-bats dart to the well-trained, low-life dirtballs who pulled a Goldilocks and invaded our house while we were away eating turkey. May yo…","A next-time-we'll-be-waiting-with-baseball-bats dart to the well-trained, low-life dirtballs who pulled a Goldilocks and invaded our house while we were away eating turkey. May you choke and die on the fettuccini you stole from our pantry. Sent in by off-campus residents who are tired of listening to the one compact disc you graciously forgot to pilfer."
